   -0.000   ,   -0.000
   0.067   ,   7.308
   0.147   ,   16.077
   0.211   ,   23.092
   0.262   ,   28.704
   0.303   ,   33.194
   0.336   ,   36.786
   0.362   ,   39.659
   0.383   ,   41.958
   0.400   ,   43.797
   0.413   ,   45.268
   0.424   ,   46.445
   0.432   ,   47.054
   0.467   ,   46.345
   0.867   ,   71.274
   1.267   ,   94.010
   1.667   ,   116.435
   2.067   ,   138.824
   2.467   ,   161.241
   2.867   ,   183.683
   3.267   ,   206.135
   3.667   ,   228.603
   4.067   ,   251.049
   4.473   ,   273.845
   4.921   ,   298.860
   5.413   ,   326.289
   5.954   ,   356.295
   6.549   ,   389.047
   7.204   ,   424.691
   7.925   ,   463.221
   8.717   ,   504.655
   9.589   ,   539.769
   10.548   ,   542.661
   11.603   ,   545.410
   12.763   ,   547.776
   13.018   ,   548.231
   13.222   ,   548.554
   13.386   ,   548.852
   13.412   ,   548.899
   13.516   ,   549.106
   14.039   ,   549.804
   15.443   ,   551.206
   16.987   ,   551.681
   18.686   ,   551.073
   20.555   ,   548.927
   22.610   ,   544.464
   24.871   ,   535.593
   27.358   ,   510.821
   30.094   ,   447.312
   33.104   ,   384.944
   36.414   ,   327.085